date,regime
20241219,sideways
20241220,sideways
20241223,sideways
20241224,sideways
20241225,sideways
20241226,sideways
20241227,sideways
20241230,sideways
20241231,sideways
20250102,sideways
20250103,sideways
20250106,sideways
20250107,sideways
20250108,sideways
20250109,sideways
20250110,sideways
20250113,sideways
20250114,sideways
20250115,sideways
20250116,sideways
20250117,sideways
20250120,sideways
20250121,sideways
20250122,sideways
20250123,sideways
20250124,sideways
20250127,sideways
20250205,sideways
20250206,bull
20250207,bull
20250210,bull
20250211,bull
20250212,bull
20250213,bull
20250214,bull
20250217,bull
20250218,bull
20250219,bull
20250220,bull
20250221,bull
20250224,bull
20250225,bull
20250226,bull
20250227,bull
20250228,bull
20250303,sideways
20250304,bull
20250305,bull
20250306,bull
20250307,bull
20250310,bull
20250311,bull
20250312,bull
20250313,bull
20250314,bull
20250317,bull
20250318,bull
20250319,bull
20250320,sideways
20250321,bear
20250324,bear
20250325,bear
20250326,bear
20250327,bear
20250328,bear
20250331,bear
20250401,bear
20250402,bear
20250403,bear
20250407,bear
20250408,bear
20250409,bear
20250410,bear
20250411,bear
20250414,bear
20250415,bear
20250416,bear
20250417,bear
20250418,bear
20250421,sideways
20250422,sideways
20250423,sideways
20250424,bear
20250425,bear
20250428,bear
20250429,bear
20250430,sideways
20250506,sideways
20250507,bull
20250508,bull
20250509,sideways
20250512,bull
20250513,bull
20250514,bull
20250515,sideways
20250516,sideways
20250519,sideways
20250520,sideways
20250521,sideways
20250522,sideways
20250523,sideways
20250526,sideways
20250527,sideways
20250528,bear
20250529,sideways
20250530,sideways
20250603,sideways
20250604,sideways
20250605,sideways
20250606,bull
20250609,sideways
20250610,sideways
20250611,sideways
20250612,sideways
20250613,sideways
20250616,bull
20250617,bull
20250618,bull
20250619,bull
20250620,sideways
20250623,bull
20250624,bull
20250625,bull
20250626,bull
20250627,bull
20250630,bull
20250701,bull
20250702,bull
20250703,bull
20250704,bull
20250707,bull
20250708,bull
20250709,bull
20250710,bull
20250711,sideways
20250714,sideways
20250715,sideways
20250716,sideways
20250717,sideways
20250718,bull
20250721,bull
20250722,bull
20250723,bull
20250724,bull
20250725,bull
20250728,bull
20250729,bull
20250730,bull
20250731,bull
20250801,bull
20250804,bull
20250805,bull
20250806,bull
20250807,bull
20250808,bull
20250811,bull
20250812,bull
20250813,bull
20250814,bull
20250815,bull
20250818,bull
20250819,bull
20250820,bull
20250821,bull
20250822,bull
20250825,bull
20250826,bull
20250827,bull
20250828,bull
20250829,bull
20250901,bull
20250902,bull
20250903,bull
20250904,bull
20250905,bull
20250908,bull
20250909,bull
20250910,sideways
20250911,bull
20250912,bull
20250915,bull
20250916,bull
20250917,bull
20250918,bull
20250919,bull
20250922,bull
20250923,bull
20250924,bull
20250925,bull
20250926,sideways
20250929,sideways
20250930,bull
20251009,bull
20251010,bull
20251013,sideways
20251014,sideways
20251015,sideways
20251016,sideways
20251017,sideways
20251020,sideways
20251021,sideways
20251022,sideways
20251023,sideways
20251024,sideways
20251027,bull
20251028,bull
20251029,bull
20251030,bull
20251031,bull
20251103,bull
20251104,sideways
20251105,sideways
20251106,sideways
20251107,sideways
20251110,sideways
20251111,sideways
