ts_code,trade_date,close,pct_chg,score,volume_ratio,structure,ma10,ma20,macd_dif,macd_dea,rsi6,boll_mid,turnover,avg_turnover_5,atr_ratio,price_vs_ma20,tier,ma5,kdj_k,kdj_d,wr1,wr2,regime,entry_price,ret_1,ret_3,ret_5
159682.SZ,20241225.000000,0.957000,-0.519800,5,,,0.962700,0.966650,,,43.246540,,290755.891000,257026.477600,0.024108,-0.009983,B,0.958800,26.139789,22.964614,74.576270,44.444443,sideways,0.957000,0.004180,0.003135,-0.063741
159792.SZ,20241225.000000,0.706000,-0.423100,4,,,0.707800,0.704300,,,50.145874,,431121.521000,605665.917800,0.025900,0.002414,B,0.705600,35.532196,30.909425,63.829786,27.777776,sideways,0.706000,0.001416,0.000000,-0.026912
560610.SH,20241225.000000,0.948819,-0.207000,3,,,0.946358,0.946703,,,54.096306,,1614337.168000,1411701.578800,0.015486,0.002235,C,0.946063,38.759149,30.863155,54.054424,26.085611,sideways,0.948819,0.003112,0.005186,-0.037344
588030.SH,20241225.000000,0.929000,-0.641700,5,,,0.932000,0.936750,,,47.301746,,429080.369000,428310.496800,0.026988,-0.008273,A,0.931400,37.871005,35.024468,62.068964,56.862744,sideways,0.929000,0.015070,-0.002153,-0.064586
588190.SH,20241225.000000,0.924000,-0.645200,5,,,0.929100,0.934650,,,45.724846,,262680.997000,260310.285400,0.027056,-0.011395,B,0.927200,34.791359,33.050476,66.101694,60.784313,sideways,0.924000,0.016234,-0.002165,-0.063853
588220.SH,20241225.000000,0.929000,-0.641700,5,,,0.933900,0.939050,,,46.123739,,233296.051000,320564.252000,0.026988,-0.010702,B,0.932400,35.222940,33.405373,65.517240,60.784313,sideways,0.929000,0.016146,-0.002153,-0.061356
588800.SH,20241225.000000,0.898000,-0.663700,5,,,0.902600,0.907100,,,46.095865,,308793.965000,354858.965600,0.027681,-0.010032,B,0.901200,34.516139,32.506970,66.071427,61.224489,sideways,0.898000,0.016704,0.000000,-0.064588
159605.SZ,20241226.000000,0.913000,-0.218600,5,,,0.915800,0.916250,,,46.136886,,156523.564000,467155.415400,0.022766,-0.003547,A,0.912400,26.285592,24.650008,76.190474,39.999997,sideways,0.913000,-0.005476,-0.014239,-0.023001
159682.SZ,20241226.000000,0.961000,0.418000,5,,,0.959300,0.967700,,,48.594968,,166644.311000,236027.148400,0.022150,-0.006924,B,0.958600,39.265605,28.398278,58.695651,29.629629,sideways,0.961000,-0.002081,-0.030177,-0.087409
159605.SZ,20241227.000000,0.908000,-0.547600,5,,,0.913500,0.917000,,,40.825163,,646274.133000,436474.159200,0.022734,-0.009815,A,0.911800,25.099485,24.799834,82.758618,73.333328,sideways,0.908000,-0.005507,-0.022026,-0.018722
